Parameter,Dyn infl,Reactions
IL6,1.009265365,R1
Km,0.670396157,R29
Vm,0.671555333,R29
k10,0.212001863,"R10, R22"
k12,0.236852356,"R18, R27"
k14,0.465069782,R26
k16,1.135862334,"R35, R36"
k17,0.462299921,R20
k18a,0.936315591,R37
k18b,0.844381043,R37
k19,0.481740744,R38
k20,0.843377973,R40
k22,0.841232849,R39
k23,0.877206751,"R42, R41"
k4,0.406858589,R9
k43,0.296852227,R55
k45,0.1393134,R59
k47,0.156573634,R64
k49,0.433652275,R62
k51,0.006857141,R61
k53,0.059995899,R67
k55,0.988177706,R69
k57,0.972069907,R71
k59,0.099091875,R70
k6,0.838332529,R12
kf0,1.009265365,R1
kf1,0.057169804,R5
kf11,0.506431999,"R25, R24"
kf13,0.047169775,"R19, R34"
kf15,0.961313861,"R32, R33"
kf2,0.10458258,R3
kf21,0.776797901,R15
kf24,0.306973191,R45
kf25,0.004267448,R46
kf26,0.901553864,R48
kf27,0.73935586,R50
kf28,0.171428565,R51
kf29,0.400984249,R56
kf3,0.201442669,R7
kf30,0.670828702,R54
kf31,0.074704843,R49
kf32,1.072768717,R17
kf33,0.343771933,R53
kf34,0.180983121,R30
kf35,0.009363401,R44
kf37,0.413476617,R16
kf38,0.323253309,R43
kf39,0.218277403,R16a
kf40,0.011769099,R47
kf41,0.699317968,R52
kf42,0.592127988,R57
kf44,0.149395819,R58
kf46,0.428794142,R60
kf48,0.032623469,R65
kf5,1.378711132,"R11, R21"
kf50,0.046064643,R63
kf52,0.08509793,R66
kf54,0.180136648,R68
kf56,0.060939226,R73
kf58,0.059080565,R72
kf7,0.148748107,R13
kf8,0.512597622,"R31, R23"
kf9,1.426298324,"R14, R28"
kr0,1.002298502,R2
kr1,0.041438125,R5
kr11,0.498944135,"R25, R24"
kr13,0.487752089,"R19, R34"
kr15,0.937900912,"R32, R33"
kr2,0.07627293,R3
kr21,0.675745277,R15
kr24,0.238416474,R45
kr25,0.142998822,R46
kr26,0.651124364,R48
kr27,3.04099E-05,R50
kr28,0.001414633,R51
kr29,0.201573948,R56
kr3,0.19848779,R8
kr30,0.661630744,R54
kr31,0.065983157,R49
kr32,0.006118394,R17
kr33,0.405977693,R53
kr34,0.009195972,R30
kr35,0.018657001,R44
kr37,0.008517981,R16
kr38,0.385253249,R43
kr39,0.006837774,R16a
kr40,0.089248131,R47
kr41,0.169392557,R52
kr42,0.098606316,R57
kr44,7.81163E-05,R58
kr46,0.000270777,R60
kr48,0.030291934,R65
kr5,1.072409157,"R11, R21"
kr50,0.041277425,R63
kr52,0.000175205,R66
kr54,0.000882714,R68
kr56,0.041978833,R73
kr58,0.037032287,R72
kr7,0.148745838,R13
kr8,0.501408963,"R31, R23"
kr9,0.794262307,"R14, R28"
